Issue ID,Title,Description,Acceptance criteria,Dependencies,Status
ISSUE-0001,Lock math conventions,"Define column-major, right-handed, and depth-range rules used across TS/Rust and document them","Math conventions doc created; TS/Rust helper functions aligned","",Done
ISSUE-0002,Add render regression fixture,"Add a deterministic camera + instance grid fixture to validate visibility while orbiting","Fixture renders stable; no popping while orbiting","ISSUE-0001",Done
ISSUE-0003,Finalize SceneGraph v0 schema,"Confirm JSON schema and TS types as source of truth for v0","Schema and TS types aligned; version tagged v0","ISSUE-0001",Done
ISSUE-0004,Define command execution spec,"Define how draw/transform/delete commands mutate SceneGraph, including undo/redo payloads and validation rules","Spec doc + TS stubs + unit tests for apply/undo on sample entities","ISSUE-0003",Done
ISSUE-0005,SceneGraph command executor,"Implement minimal command executor for draw_line/transform/delete","Commands apply and undo/redo passes tests","ISSUE-0004",Done
ISSUE-0006,Geometry buffer builder,"Convert SceneGraph geometry assets into GPU-ready buffers","Buffer layout validated with a sample mesh","ISSUE-0003",Done
ISSUE-0007,Renderer bridge wiring,"Wire SceneGraph to renderer buffers and camera updates","SceneGraph renders via renderer without manual mesh setup","ISSUE-0005,ISSUE-0006",Open
ISSUE-0008,Worker pipeline stub,"Add worker entry points for geometry build and parsing","Worker interfaces defined; main thread invokes worker","ISSUE-0003",Done
ISSUE-0009,SharedArrayBuffer channel,"Design data transfer contract for zero-copy buffers","SAB contract documented; fallback path defined","ISSUE-0008",Done
ISSUE-0010,Configure wasm-pack pipeline,"Add wasm-pack build script, wasm bindings, and CI-ready instructions for local toolchain setup","wasm-pack build succeeds; wasm exports available; instructions documented for Cargo toolchain requirement","",Blocked
ISSUE-0011,POC 100k FPS benchmark,"Validate 100k instance render target with benchmark mode and document the measured FPS","benchmark=1 shows FPS >= 60 for preset=100k on reference machine; capture evidence","ISSUE-0002",Open
