Phase,Duration,Goal,Task,Milestone
Phase 0 - Stabilization,2 weeks,"Rendering and math stability","ISSUE-0001: Lock math conventions",""
Phase 0 - Stabilization,2 weeks,"Rendering and math stability","ISSUE-0002: Add render regression fixture",""
Phase 0 - Stabilization,2 weeks,"Rendering and math stability","Milestone","Stable orbit and no popping in baseline scene"
Phase 1 - POC,1 month,"Rust+Wasm setup and render pipeline validation","Configure Rust to Wasm build pipeline (wasm-pack)",""
Phase 1 - POC,1 month,"Rust+Wasm setup and render pipeline validation","Implement core data structures: Vector3, Matrix4, Mesh",""
Phase 1 - POC,1 month,"Rust+Wasm setup and render pipeline validation","Build canvas and basic camera control (zoom/pan/orbit)",""
Phase 1 - POC,1 month,"Rust+Wasm setup and render pipeline validation","WebGPU render loop with WebGL2 fallback",""
Phase 1 - POC,1 month,"Rust+Wasm setup and render pipeline validation","Worker pipeline with SharedArrayBuffer",""
Phase 1 - POC,1 month,"Rust+Wasm setup and render pipeline validation","Define scene graph schema v0 (entities/components)",""
Phase 1 - POC,1 month,"Rust+Wasm setup and render pipeline validation","Milestone","Draw 100k dynamic cubes at 60 FPS"
Phase 2 - Data Model,1 month,"Scene graph and command execution","ISSUE-0003: Finalize SceneGraph v0 schema",""
Phase 2 - Data Model,1 month,"Scene graph and command execution","ISSUE-0004: Define command execution spec",""
Phase 2 - Data Model,1 month,"Scene graph and command execution","ISSUE-0005: SceneGraph command executor",""
Phase 2 - Data Model,1 month,"Scene graph and command execution","ISSUE-0006: Geometry buffer builder",""
Phase 2 - Data Model,1 month,"Scene graph and command execution","ISSUE-0007: Renderer bridge wiring",""
Phase 2 - Data Model,1 month,"Scene graph and command execution","Milestone","SceneGraph-driven render with undo/redo"
Phase 3 - Parallelism,1 month,"Worker pipeline baseline","ISSUE-0008: Worker pipeline stub",""
Phase 3 - Parallelism,1 month,"Worker pipeline baseline","ISSUE-0009: SharedArrayBuffer channel",""
Phase 3 - Parallelism,1 month,"Worker pipeline baseline","Milestone","Worker-driven geometry build path"
Phase 2 - MVP,2 months,"Basic CAD editing capability","Geometry kernel: OpenCascade integration or base primitives (line/circle/rect/extrude)",""
Phase 2 - MVP,2 months,"Basic CAD editing capability","Interaction system: command pattern with undo/redo",""
Phase 2 - MVP,2 months,"Basic CAD editing capability","Snapping: endpoint, midpoint, perpendicular",""
Phase 2 - MVP,2 months,"Basic CAD editing capability","Selection: point and box selection using BVH",""
Phase 2 - MVP,2 months,"Basic CAD editing capability","GPU picking for dense scenes",""
Phase 2 - MVP,2 months,"Basic CAD editing capability","Milestone","Create a simple 3D part via extrude with no lag"
Phase 3 - AI Integration,2 months,"Intelligent assistance","Schema v1: JSON/Binary format for AI and persistence",""
Phase 3 - AI Integration,2 months,"Intelligent assistance","AI copilot: text-to-CAD instruction generation",""
Phase 3 - AI Integration,2 months,"Intelligent assistance","AI copilot: smart next-step completion",""
Phase 3 - AI Integration,2 months,"Intelligent assistance","Constraint solver for parametric design",""
Phase 3 - AI Integration,2 months,"Intelligent assistance","Inference pipeline via ONNX Runtime Web",""
